player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Erik Kratz,C,NYY,--,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/456124
Sean Gilmartin,P,STL,--,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/543219
Colin Moran,3B,HOU,--,3,2,3,0,1,0,2,0,0,0,0,1.000,1.000,1.667,2.667,https://www.mlb.com/player/592567
Darrell Ceciliani,LF,TOR,--,3,2,2,1,0,1,3,0,0,0,0,.667,.667,2.000,2.667,https://www.mlb.com/player/571553
Jake Buchanan,P,ARI,--,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/594772
Wade Miley,P,BAL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/489119
Fernando Salas,P,LAA,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/477569
Luis Severino,P,NYY,--,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/622663
Andrew Albers,P,SEA,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/452027
Jake Odorizzi,P,TB,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543606
Kenley Jansen,P,LAD,--,3,0,2,1,0,0,1,0,0,0,0,.667,.667,1.000,1.667,https://www.mlb.com/player/445276
Miguel Andujar,3B,NYY,--,6,0,4,2,0,0,4,0,0,1,0,.667,.667,1.000,1.667,https://www.mlb.com/player/609280
Chance Sisco,C,BAL,--,9,2,4,2,0,1,3,2,2,0,0,.444,.545,1.000,1.545,https://www.mlb.com/player/642082
Joey Wendle,2B,OAK,--,5,3,2,0,0,1,5,1,1,0,0,.400,.500,1.000,1.500,https://www.mlb.com/player/621563
Tim Federowicz,C,SF,--,5,2,2,0,0,1,2,0,2,0,0,.400,.400,1.000,1.400,https://www.mlb.com/player/543148
Jeremy Hazelbaker,CF,ARI,--,21,9,10,2,1,1,9,5,8,1,0,.476,.577,.810,1.386,https://www.mlb.com/player/571757
Ji-Man Choi,1B,NYY,--,9,2,3,0,0,2,5,1,4,0,0,.333,.364,1.000,1.364,https://www.mlb.com/player/596847
Jackson Stephens,P,CIN,--,3,1,2,0,0,0,2,0,1,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/623451
Erasmo Ramirez,P,SEA,--,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/541640
Renato Nunez,LF,OAK,--,6,1,2,0,0,1,3,1,4,0,0,.333,.429,.833,1.262,https://www.mlb.com/player/600524
Adam Wainwright,P,STL,--,18,7,7,2,0,2,11,1,5,0,0,.389,.421,.833,1.254,https://www.mlb.com/player/425794
Victor Robles,CF,WSH,--,13,2,5,1,2,0,4,0,3,0,1,.385,.429,.769,1.198,https://www.mlb.com/player/645302
Pedro Florimon,CF,PHI,--,20,6,10,3,0,0,6,2,4,0,0,.500,.545,.650,1.195,https://www.mlb.com/player/465753
Taylor Davis,C,CHC,--,6,1,3,1,0,0,1,0,2,0,0,.500,.500,.667,1.167,https://www.mlb.com/player/543089
Mike Trout,CF,LAA,--,153,71,52,12,1,12,51,49,34,22,4,.340,.495,.667,1.162,https://www.mlb.com/player/545361
Rhys Hoskins,LF,PHI,--,82,29,23,6,0,10,40,19,22,2,0,.280,.419,.720,1.139,https://www.mlb.com/player/656555
Charlie Blackmon,RF,COL,--,195,113,74,12,4,13,80,23,38,14,10,.379,.446,.682,1.128,https://www.mlb.com/player/453568
Ben Lively,P,PHI,--,16,2,6,0,0,2,8,0,5,0,0,.375,.375,.750,1.125,https://www.mlb.com/player/594902
Joey Votto,1B,CIN,--,221,86,75,12,0,16,80,73,36,5,1,.339,.495,.611,1.106,https://www.mlb.com/player/458015
Bryce Harper,RF,WSH,--,203,81,72,13,0,15,73,36,48,4,2,.355,.446,.640,1.087,https://www.mlb.com/player/547180
Ryan McMahon,1B,COL,--,8,2,3,1,0,0,1,4,1,0,0,.375,.583,.500,1.083,https://www.mlb.com/player/641857
Mike Tauchman,CF,COL,--,8,2,3,0,1,0,2,1,4,1,2,.375,.444,.625,1.069,https://www.mlb.com/player/643565
Jorge Alfaro,C,PHI,--,33,9,12,2,0,2,11,2,10,0,0,.364,.462,.606,1.068,https://www.mlb.com/player/595751
Tommy Pham,CF,STL,--,201,86,68,13,2,14,64,33,48,25,7,.338,.436,.632,1.068,https://www.mlb.com/player/502054
Nolan Arenado,3B,COL,--,284,81,98,25,4,18,111,36,50,3,2,.345,.413,.651,1.064,https://www.mlb.com/player/571448
Adam Lind,1B,WSH,--,117,36,38,8,0,11,56,15,18,1,0,.325,.384,.675,1.059,https://www.mlb.com/player/452252
Avisail Garcia,RF,CWS,--,230,69,86,17,2,12,74,16,49,5,3,.374,.427,.622,1.049,https://www.mlb.com/player/541645
Paul Goldschmidt,1B,ARI,--,265,98,88,16,2,17,101,53,65,18,5,.332,.448,.600,1.048,https://www.mlb.com/player/502671
Adam Eaton,CF,WSH,--,23,22,10,0,1,0,11,5,4,3,1,.435,.517,.522,1.039,https://www.mlb.com/player/594809
Matt Olson,1B,OAK,--,87,21,23,1,0,12,33,10,26,0,0,.264,.347,.690,1.037,https://www.mlb.com/player/621566
Daniel Murphy,2B,WSH,--,236,78,91,21,2,7,77,30,24,2,0,.386,.456,.581,1.036,https://www.mlb.com/player/502517
Phillip Ervin,RF,CIN,--,28,7,10,2,0,2,9,1,4,4,1,.357,.379,.643,1.022,https://www.mlb.com/player/640447
Adrian Beltre,3B,TEX,--,145,38,49,13,0,8,62,26,21,1,0,.338,.427,.593,1.020,https://www.mlb.com/player/134181
Adam Frazier,2B,PIT,--,141,54,50,10,4,5,52,16,12,9,5,.355,.427,.589,1.015,https://www.mlb.com/player/624428
Nick Castellanos,RF,DET,--,255,60,87,17,7,13,88,25,54,4,5,.341,.399,.616,1.015,https://www.mlb.com/player/592206
J.D. Martinez,RF,ARI,--,209,58,63,15,0,18,77,30,61,4,0,.301,.383,.632,1.014,https://www.mlb.com/player/502110
Ryan Zimmerman,1B,WSH,--,255,72,84,20,0,18,90,28,62,1,0,.329,.391,.620,1.011,https://www.mlb.com/player/475582
Kevin Plawecki,C,NYM,--,47,11,15,3,0,3,13,8,7,1,0,.319,.431,.574,1.006,https://www.mlb.com/player/608700
Giancarlo Stanton,RF,MIA,--,265,87,78,19,0,23,96,35,76,2,2,.294,.379,.626,1.006,https://www.mlb.com/player/519317
Lonnie Chisenhall,RF,CLE,--,117,30,38,11,1,8,49,8,23,2,2,.325,.364,.641,1.005,https://www.mlb.com/player/502082
Zack Cozart,SS,CIN,--,166,64,53,12,4,8,47,30,24,3,0,.319,.421,.584,1.005,https://www.mlb.com/player/446359
Anthony Rendon,3B,WSH,--,213,69,67,20,0,13,88,35,32,7,2,.315,.413,.592,1.005,https://www.mlb.com/player/543685
Aaron Judge,RF,NYY,--,258,100,69,11,2,24,86,56,87,9,4,.267,.397,.605,1.002,https://www.mlb.com/player/592450
Aaron Blair,P,ATL,--,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,https://www.mlb.com/player/594760
Corey Kluber,P,CLE,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/446372
Ian Kennedy,P,KC,--,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,https://www.mlb.com/player/453178
Trevor Cahill,P,KC,--,5,1,2,1,0,0,2,0,2,0,0,.400,.400,.600,1.000,https://www.mlb.com/player/502239
Brock Stewart,P,LAD,--,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/592779
Jacob Barnes,P,MIL,--,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,https://www.mlb.com/player/606930
Ervin Santana,P,MIN,--,5,3,2,1,0,0,5,0,0,0,0,.400,.400,.600,1.000,https://www.mlb.com/player/429722
Dietrich Enns,P,MIN,--,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/608650
Adam Morgan,P,PHI,--,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,https://www.mlb.com/player/605388
Antonio Bastardo,P,PIT,--,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,https://www.mlb.com/player/455374
Jacob Stallings,C,PIT,--,8,3,3,1,0,0,3,2,2,0,0,.375,.500,.500,1.000,https://www.mlb.com/player/607732
Travis Wood,P,SD,--,9,2,3,0,0,1,5,0,3,0,0,.333,.333,.667,1.000,https://www.mlb.com/player/475243
Rocky Gale,C,SD,--,5,1,1,0,0,1,2,0,1,0,0,.200,.200,.800,1.000,https://www.mlb.com/player/502570
Marco Gonzales,P,SEA,--,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/594835
Carlos Correa,SS,HOU,--,212,71,72,12,0,13,73,30,40,2,1,.340,.417,.580,.997,https://www.mlb.com/player/621043
Pat Valaika,1B,COL,--,94,25,27,7,0,10,37,3,23,0,0,.287,.306,.681,.987,https://www.mlb.com/player/642162
Justin Upton,LF,LAA,--,241,81,73,19,0,16,90,41,73,14,5,.303,.403,.581,.984,https://www.mlb.com/player/457708
Scooter Gennett,2B,CIN,--,222,70,74,10,1,17,87,12,54,3,2,.333,.364,.617,.982,https://www.mlb.com/player/571697
Marcell Ozuna,LF,MIA,--,294,73,98,16,2,17,104,37,66,1,3,.333,.405,.575,.980,https://www.mlb.com/player/542303
Marwin Gonzalez,LF,HOU,--,200,56,67,12,0,12,79,22,44,8,3,.335,.403,.575,.978,https://www.mlb.com/player/503556
Robinson Cano,2B,SEA,--,274,72,94,15,0,16,90,27,38,1,0,.343,.400,.573,.973,https://www.mlb.com/player/429664
Harrison Bader,CF,STL,--,35,9,12,2,0,2,9,4,10,2,1,.343,.400,.571,.971,https://www.mlb.com/player/664056
Kurt Suzuki,C,ATL,--,111,29,32,3,0,10,41,10,13,0,0,.288,.382,.586,.967,https://www.mlb.com/player/435559
Mookie Betts,RF,BOS,--,242,88,79,21,1,11,89,37,29,26,3,.326,.408,.558,.966,https://www.mlb.com/player/605141
Corey Seager,SS,LAD,--,216,76,71,10,0,13,68,31,54,4,2,.329,.410,.556,.966,https://www.mlb.com/player/608369
Willson Contreras,C,CHC,--,156,41,45,11,0,12,65,22,30,5,4,.288,.376,.590,.965,https://www.mlb.com/player/575929
Josh Donaldson,3B,TOR,--,154,45,42,9,0,13,58,25,48,2,2,.273,.377,.584,.962,https://www.mlb.com/player/518626
Shane Peterson,LF,TB,--,29,9,10,1,0,2,11,0,4,2,0,.345,.375,.586,.961,https://www.mlb.com/player/451089
Nelson Cruz,DH,SEA,--,258,70,79,12,0,18,98,39,64,1,1,.306,.398,.562,.960,https://www.mlb.com/player/443558
Dexter Fowler,RF,STL,--,166,58,49,12,3,8,54,33,32,7,3,.295,.410,.548,.958,https://www.mlb.com/player/451594
Jose Altuve,2B,HOU,--,257,98,90,15,0,10,67,36,40,32,6,.350,.432,.525,.957,https://www.mlb.com/player/514888
Cody Bellinger,RF,LAD,--,226,66,61,11,2,18,76,41,70,10,3,.270,.380,.575,.955,https://www.mlb.com/player/641355
Phillip Evans,3B,NYM,--,10,4,4,1,0,0,1,1,3,0,0,.400,.455,.500,.954,https://www.mlb.com/player/595943
T.J. Rivera,3B,NYM,--,88,23,32,11,1,1,23,5,10,1,0,.364,.408,.545,.954,https://www.mlb.com/player/608061
Freddie Freeman,1B,ATL,--,175,66,50,14,0,10,53,37,44,8,5,.286,.415,.537,.952,https://www.mlb.com/player/518692
Justin Bour,1B,MIA,--,174,39,52,12,0,12,70,23,36,1,0,.299,.376,.575,.951,https://www.mlb.com/player/571506
Austin Barnes,C,LAD,--,103,31,33,9,0,4,34,15,19,4,1,.320,.426,.524,.950,https://www.mlb.com/player/605131
Brett Nicholas,C,TEX,--,26,7,8,2,0,2,11,1,5,0,0,.308,.333,.615,.949,https://www.mlb.com/player/592592
Justin Turner,3B,LAD,--,204,60,65,14,0,9,59,29,25,7,1,.319,.423,.520,.942,https://www.mlb.com/player/457759
Teoscar Hernandez,RF,TOR,--,42,12,11,3,0,4,16,4,17,0,1,.262,.319,.619,.938,https://www.mlb.com/player/606192
Matt Adams,1B,ATL,--,149,37,45,8,0,11,56,15,42,0,0,.302,.361,.577,.938,https://www.mlb.com/player/571431
Domingo Santana,RF,MIL,--,211,71,64,12,0,13,68,31,67,15,4,.303,.393,.545,.938,https://www.mlb.com/player/570267
Jay Bruce,RF,CLE,--,237,65,67,14,0,19,84,28,51,1,1,.283,.354,.582,.937,https://www.mlb.com/player/457803
Jose Abreu,1B,CWS,--,256,73,82,19,4,11,80,23,42,3,0,.320,.382,.555,.937,https://www.mlb.com/player/547989
Rymer Liriano,RF,CWS,--,19,4,6,1,0,1,6,3,6,1,0,.316,.409,.526,.935,https://www.mlb.com/player/542642
Matt Carpenter,3B,STL,--,174,79,44,11,2,11,57,45,48,2,1,.253,.405,.529,.934,https://www.mlb.com/player/572761
Tommy Milone,P,NYM,--,3,0,1,0,0,0,1,2,1,0,0,.333,.600,.333,.933,https://www.mlb.com/player/543548
